"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Costa Rica","CRI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.73242936327897","","5.32758974151201","6.7013320119888","6.52014209469263","9.56054903611554","16.1934174190397","","","","3.013531827231","8.37318749280863","7.53588614603866","8.27543599299201","8.11547066709238","6.18578576204556","4.77621038518597","3.83689077548768","3.5040421302319","","3.82724764327654","4.90491376893806","4.16980847885031","4.95827999336993","4.9751433972405","3.84670562842237","3.4421455821892","3.04713741373833","3.14199075969613","3.22348803495399","","","",
"Caribbean small states","CSS","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.76164656776716","3.69435128914582","3.46711228282927","3.94701690972722","5.7255014233864","54.368376110769","46.7561851018296","","","6.70388248517611","","","7.91746595677648","6.37927627396308","11.3930895585267","","","","","",
"Cyprus","CYP","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.4972711050561","71.9742018297407","28.687489602589","39.4226008114074","26.4895964077517","10.3225762378994","7.96788111301493","8.78445418868352","17.3556108950289","13.5233429541088","11.9323284463061","12.2998458851113","12.8659230568173","16.3565463641626","18.3648709206791","18.6087858490966","20.9259140679469","29.5937407407807","29.0384363308674","",
"Czechia","CZE","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.22979549453657","12.6256321213278","15.1647826965938","21.0136243678541","17.2963713115717","15.5249620610415","16.1358204785921","15.6752059957495","11.9616402452718","12.4157299401065","15.4404213886292","22.3818810013806","25.415522518491","28.4006609337804","36.2623317903537","17.2986326778969","","","","","","","","","","10.6995505413117","10.2467653377075","10.598397503362","12.8772452312801","9.54471813927969","10.044989494838","9.9762886985348","",
"Germany","DEU","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","10.4380079548187","10.2365375595198","10.8016112715667","11.2612468492091","8.97606309955732","7.51915892316582","7.78976927063543","8.84669824569716","10.7134674066503","10.7682937060332","24.2490872987985","24.5385258389746","16.7670627893431","17.8379496304773","26.0079267863675","19.9819105831424","19.7575256941085","15.3495629455696","21.2460777777209","22.5340068453009","22.2661742613675","26.5215642092546","37.1929033514981","48.6819029844089","64.6905525686686","64.5783239896819","54.5036012508445","32.6307836233992","42.5699149347862","41.8788117991391","41.5476294494245","53.7571829522138","60.423753481629","29.1628668367447","37.1521747753963","41.2368151824591","30.978859078058","41.3268938999697","50.8561638490348","43.8485684872249","50.0949082078409","48.5197743240464","60.079981755637","43.2795387525403","52.9855978284666","57.9517289387954","57.4718950080433","44.9810563246043","47.7411977532533","43.6283922696023","",
"Djibouti","DJI","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","10.1437276526256","10.7857323836541","9.61542067169771","8.51210611023475","7.37250542500754","7.82797513079264","10.0432246652288","9.22924600380878","17.49842083545","12.8898299728796","24.1725296724092","19.7857756825707","18.6294998755087","23.2680161497166","35.8144259729595","28.2615674417437","32.1830267148801","21.2390956315416","27.9037283042161","30.1268791652591","30.4151485007466","37.9127165720249","54.1284234292973","55.9006748585942","54.7832024080227","68.1638856572036","51.6403909738502","42.9278139702877","55.6910060266206","60.0627719491543","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Market capitalization of listed domestic companies (% of GDP)","CM.MKT.LCAP.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
